,datetime,symbol,收盤價
1075589,2016-03-25,2610,11.45
1077190,2016-03-28,2610,11.45
1078791,2016-03-29,2610,11.5
1080392,2016-03-30,2610,11.5
1081995,2016-03-31,2610,11.5
1083598,2016-04-01,2610,11.35
1085201,2016-04-06,2610,11.15
1086804,2016-04-07,2610,11.15
1088407,2016-04-08,2610,11.05
1090010,2016-04-11,2610,11.05
1091613,2016-04-12,2610,11.05
1093217,2016-04-13,2610,11.15
1094821,2016-04-14,2610,11.0
1096425,2016-04-15,2610,11.05
1098029,2016-04-18,2610,10.95
1099633,2016-04-19,2610,10.8
1101237,2016-04-20,2610,10.6
1102841,2016-04-21,2610,10.6
1104445,2016-04-22,2610,10.6
1106049,2016-04-25,2610,10.75
1107653,2016-04-26,2610,10.8
1109257,2016-04-27,2610,10.75
1110861,2016-04-28,2610,10.6
1112465,2016-04-29,2610,10.55
1114069,2016-05-03,2610,10.55
1115673,2016-05-04,2610,10.35
1117277,2016-05-05,2610,10.05
1118881,2016-05-06,2610,10.1
1120486,2016-05-09,2610,10.25
1122093,2016-05-10,2610,10.15
1123697,2016-05-11,2610,10.05
1125301,2016-05-12,2610,10.05
1126904,2016-05-13,2610,10.1
1128507,2016-05-16,2610,10.1
1130110,2016-05-17,2610,10.05
1131713,2016-05-18,2610,10.05
1133316,2016-05-19,2610,10.1
1134920,2016-05-20,2610,10.05
1136524,2016-05-23,2610,10.15
1138128,2016-05-24,2610,10.1
1139732,2016-05-25,2610,10.3
1141336,2016-05-26,2610,10.4
1142940,2016-05-27,2610,10.5
1144544,2016-05-30,2610,10.35
1146148,2016-05-31,2610,10.35
1147753,2016-06-01,2610,10.45
1149358,2016-06-02,2610,10.4
1150963,2016-06-03,2610,10.4
1152568,2016-06-04,2610,10.45
1154173,2016-06-06,2610,10.4
1155778,2016-06-07,2610,10.4
1157383,2016-06-08,2610,10.45
1158988,2016-06-13,2610,10.2
1160592,2016-06-14,2610,10.15
1162196,2016-06-15,2610,10.15
1163800,2016-06-16,2610,10.0
1165405,2016-06-17,2610,10.05
1167010,2016-06-20,2610,10.05
1168615,2016-06-21,2610,10.05
1170221,2016-06-22,2610,10.1
1171827,2016-06-23,2610,10.0
1173433,2016-06-24,2610,10.1
1175039,2016-06-27,2610,9.9
1176645,2016-06-28,2610,9.4
1178251,2016-06-29,2610,9.79
1179857,2016-06-30,2610,9.69
1181463,2016-07-01,2610,9.62
1183069,2016-07-04,2610,9.51
1184675,2016-07-05,2610,9.38
1186281,2016-07-06,2610,9.12
1187887,2016-07-07,2610,9.25
1189493,2016-07-11,2610,9.41
1191097,2016-07-12,2610,9.28
1192701,2016-07-13,2610,9.46
1194305,2016-07-14,2610,9.48
1195909,2016-07-15,2610,9.63
1197513,2016-07-18,2610,9.8
1199117,2016-07-19,2610,9.85
1200722,2016-07-20,2610,9.92
1202328,2016-07-21,2610,10.05
1203934,2016-07-22,2610,9.91
1205540,2016-07-25,2610,9.57
1207146,2016-07-26,2610,9.48
1208752,2016-07-27,2610,9.5
1210359,2016-07-28,2610,9.61
1211966,2016-07-29,2610,9.4
1213573,2016-08-01,2610,9.55
1215180,2016-08-02,2610,9.52
1216787,2016-08-03,2610,9.55
1218394,2016-08-04,2610,9.54
1220001,2016-08-05,2610,9.56
1221609,2016-08-08,2610,9.46
1223217,2016-08-09,2610,9.49
1224825,2016-08-10,2610,9.4
1226433,2016-08-11,2610,9.5
1228041,2016-08-12,2610,9.51
1229649,2016-08-15,2610,9.59
1231255,2016-08-16,2610,9.51
1232861,2016-08-17,2610,9.4
1234467,2016-08-18,2610,9.46
1236073,2016-08-19,2610,9.3
1237679,2016-08-22,2610,9.17
1239285,2016-08-23,2610,9.21
1240891,2016-08-24,2610,9.18
